Attack ID,Attack Date,Attack Time,Country / Territory,Certainty Level,Attack Type,Total Injured,Total Death,HC Facilities,HC Transport,HC Personnel,HC Supplies Assets,HC Warehouse Storage,HC Patients,HC Other,Type of Facility,Facility Other,HW Abduction,HW Arrest,HW Detention,Patient Abduction,Patient Arrest,Patient Detention
AFG005274,2/7/2021,Time Unknown,Afghanistan,Confirmed," Armed or violent search of health care personnel, facility or transport",0,0,NO,YES,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005008,1/30/2021,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,Unknown,YES,NO,NO,NO,,,,0,10,0,0,0,0
AFG005007,1/28/2021,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",2,3,NO,YES,YES,Unknown,NO,YES,,,,0,0,0,0,0,0
AFG005276,1/27/2021,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,NO,YES,NO,Unknown,NO,YES,,,,0,0,0,0,0,0
AFG004989,1/18/2021,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG004979,12/29/2020,10:30,Afghanistan,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,YES,NO,YES,NO,NO,,,,0,0,0,0,0,0
AFG004951,12/22/2020,07:30,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",1,4,Unknown,YES,YES,Unknown,NO,NO,,,,0,0,0,0,0,0
AFG004948,12/8/2020,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG004978,12/5/2020,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,Unknown,NO,Unknown,NO,NO,,Primary,,0,0,0,0,0,0
AFG004944,11/30/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Tertiary,,0,0,0,0,0,0
AFG004941,11/30/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Tertiary,,0,0,0,0,0,0
AFG004939,11/30/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,"BHC, SHC",0,0,0,0,0,0
AFG004936,11/29/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004946,11/29/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,"BHC, SHC",0,0,0,0,0,0
AFG004943,11/29/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004942,11/29/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004940,11/29/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,"CHC, BHC",0,0,0,0,0,0
AFG004938,11/29/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,BHC and SHC,0,0,0,0,0,0
AFG004911,11/8/2020,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,Unknown,NO,Unknown,NO,NO,,Secondary,,0,0,0,0,0,0
AFG004988,11/4/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG004912,10/31/2020,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,1,0,0,0
AFG004908,10/30/2020,Time Unknown,Afghanistan,Confirmed," Setting fire, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,YES,NO,YES,Unknown,NO,,Other,,0,0,0,0,0,0
AFG004910,10/28/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG004909,10/28/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Secondary,,0,0,0,0,0,0
AFG004894,10/18/2020,Time Unknown,Afghanistan,Confirmed, Militarization of a health care asset,0,0,YES,Unknown,Unknown,YES,NO,NO,,Primary,,0,0,0,0,0,0
AFG004863,10/15/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004871,10/14/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,Unknown,NO,NO,,,,0,0,0,0,0,0
AFG004868,10/14/2020,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,YES,NO,NO,,Secondary,,0,0,0,0,0,0
AFG004893,10/13/2020,Time Unknown,Afghanistan,Confirmed, Militarization of a health care asset,0,0,YES,Unknown,Unknown,Unknown,NO,NO,,Secondary,,0,0,0,0,0,0
AFG004860,10/13/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004870,10/12/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,Unknown,NO,Unknown,NO,NO,,Secondary,,0,0,0,0,0,0
AFG004869,10/12/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,Unknown,Unknown,NO,,,BHC & CHC,0,0,0,0,0,0
AFG004859,10/12/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG004862,10/12/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,Unknown,NO,NO,,,,0,0,0,0,0,0
AFG004856,10/12/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Secondary,,0,0,0,0,0,0
AFG004864,10/11/2020,08:00,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG004861,10/10/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004857,10/10/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
AFG004858,10/10/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,NO,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
AFG004855,10/7/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,Unknown,Unknown,NO,NO,NO,,,,0,0,0,0,0,0
AFG004839,10/7/2020,Time Unknown,Afghanistan,Confirmed," Militarization of a health care asset, Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,Unknown,Unknown,YES,Unknown,NO,,Tertiary,,0,0,0,0,0,0
AFG004841,10/2/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004838,9/30/2020,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,1,0,0,0,0
AFG004837,9/30/2020,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,1,0,0,0,0
AFG004840,9/3/2020,11:45,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG004816,9/3/2020,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004813,9/1/2020,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,YES,NO,YES,NO,NO,NO,,Primary,,0,2,0,0,0,0
AFG004808,8/28/2020,Time Unknown,Afghanistan,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG004806,8/26/2020,Time Unknown,Afghanistan,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004807,8/23/2020,Time Unknown,Afghanistan,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004805,8/23/2020,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004791,8/20/2020,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,YES,NO,YES,NO,NO,NO,,Primary,,0,1,0,0,0,0
AFG004790,8/18/2020,Time Unknown,Afghanistan,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004812,8/9/2020,Time Unknown,Afghanistan,Confirmed," Militarization of a health care asset, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,NO,NO,NO,,Secondary,,0,0,0,0,0,0
AFG004776,8/4/2020,12:00,Afghanistan,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
AFG004782,7/22/2020,Time Unknown,Afghanistan,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Psychological violence/threat of violence/intimidation",0,0,NO,YES,YES,YES,YES,YES,,Primary,,0,0,3,0,0,0
AFG004783,7/15/2020,Time Unknown,Afghanistan,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Psychological violence/threat of violence/intimidation",0,0,NO,NO,YES,NO,NO,YES,,Primary,,0,0,1,0,0,0
AFG004750,7/8/2020,04:00,Afghanistan,Confirmed,Other,0,0,YES,YES,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004784,7/1/2020,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,YES,NO,YES,NO,NO,YES,,,,0,0,0,0,0,0
AFG004745,6/29/2020,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",40,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004785,6/27/2020,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG004980,6/15/2020,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,7,0,0,0
AFG004753,6/8/2020,Time Unknown,Afghanistan,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004759,6/6/2020,03:00,Afghanistan,Confirmed, Setting fire,0,0,YES,NO,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG004786,5/28/2020,19:00,Afghanistan,Confirmed, Psychological violence/threat of violence/intimidation,0,0,NO,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004723,5/27/2020,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,YES,NO,NO,NO,YES,,,,0,0,0,0,0,3
AFG004715,5/19/2020,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,YES,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004709,5/17/2020,03:30,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",3,0,YES,NO,YES,NO,NO,YES,,Secondary,,0,0,0,0,0,0
AFG004705,5/12/2020,10:10,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",16,24,YES,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,0,0,0,0,0
AFG004706,4/26/2020,Time Unknown,Afghanistan,Probable," Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,NO,NO,YES,NO,NO,,,,0,0,0,0,0,0
AFG004660,2/25/2020,15:50,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,2,0,0,0
AFG004646,2/15/2020,05:20,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,4,0,0,0,0
AFG004625,2/8/2020,09:15,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG004622,2/6/2020,02:55,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Other,,0,0,0,0,0,0
AFG004645,1/31/2020,05:10,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG004599,1/23/2020,19:00,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG004614,1/23/2020,17:30,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG004594,1/21/2020,Time Unknown,Afghanistan,Confirmed,Other,0,8,NO,NO,NO,NO,NO,YES,local people,,,0,0,0,0,0,0
AFG004592,1/20/2020,17:30,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG004567,1/13/2020,Time Unknown,Afghanistan,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,YES,YES,Unknown,YES,YES,Unknown,,Primary,,0,0,0,0,0,0
AFG004566,1/12/2020,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,YES,YES,YES,YES,Unknown,,Primary,,0,0,0,0,0,0
AFG004565,1/12/2020,Time Unknown,Afghanistan,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Primary,,0,0,0,0,0,0
AFG004587,1/12/2020,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,Unknown,Unknown,YES,Unknown,Unknown,Unknown,,,,4,0,0,0,0,0
AFG004560,12/31/2019,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,Unknown,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG004561,12/30/2019,Time Unknown,Afghanistan,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,YES,Unknown,Unknown,YES,Unknown,Unknown,,Primary,,0,0,0,0,0,0
AFG004554,12/26/2019,13:45,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",2,3,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG004555,12/24/2019,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,Unknown,Unknown,Unknown,Unknown,Unknown,,Primary,,0,0,0,0,0,0
AFG004556,12/22/2019,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,Unknown,YES,NO,NO,NO,,,,0,0,1,0,0,0
AFG004547,12/19/2019,15:00,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,Primary,,0,0,1,0,0,0
AFG004536,12/4/2019,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,5,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG004535,12/1/2019,02:00,Afghanistan,Confirmed," Armed or violent search of health care personnel, facility or transport",0,0,YES,NO,YES,YES,NO,NO,,,,0,0,0,0,0,0
AFG004534,11/13/2019,Time Unknown,Afghanistan,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,YES,YES,YES,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG004533,11/11/2019,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,1,0,0,0,0
AFG004532,11/4/2019,Time Unknown,Afghanistan,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport",0,0,YES,NO,YES,NO,NO,NO,,Primary,,0,0,1,0,0,0
AFG004531,10/24/2019,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG004528,10/17/2019,Time Unknown,Afghanistan,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG004530,10/16/2019,16:00,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,2,0,0,0
AFG004527,10/13/2019,10:30,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG003268,10/9/2019,13:45,Afghanistan,Confirmed, Setting fire,0,0,NO,YES,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG003272,10/3/2019,13:50,Afghanistan,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG003273,10/3/2019,13:50,Afghanistan,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG003274,10/1/2019,13:55,Afghanistan,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
